row,Happiness_Rank,Country,Region,Happiness_Score,GDP_per_Capita,Social_Support,Life_Expectancy,Freedom,Government_Corruption,Generosity,Year
74,75,Belarus,Commonwealth of Independent States,5.539899826,1.018854499,1.38713932,0.75258857,0.290755868,0.193607435,0.08993306,2020
75,76,North Cyprus,Western Europe,5.53550005,1.21279943,1.183089137,1.026124597,0.477885723,0.199802905,0.199160054,2020
76,77,Greece,Western Europe,5.514999866,1.128070116,1.168973565,0.979431748,0.173516348,0.048844352,0,2020
77,78,Hong Kong S.A.R. of China,East Asia,5.510399818,1.376746058,1.243584275,1.136630654,0.459356517,0.332485437,0.288280904,2020
78,79,Croatia,Central and Eastern Europe,5.504700184,1.109024286,1.311264873,0.900575578,0.381456882,0.012325006,0.113998979,2020
79,80,Libya,Middle East and North Africa,5.488800049,1.021913767,1.196283698,0.615626633,0.451354057,0.172258079,0.142757699,2020
80,81,Mongolia,East Asia,5.456200123,0.904872775,1.458930612,0.615788162,0.355703115,0.046533126,0.263885736,2020
81,82,Malaysia,Southeast Asia,5.384300232,1.168421626,1.17400229,0.788511872,0.596941531,0.062163133,0.274886161,2020
82,83,Vietnam,Southeast Asia,5.353499889,0.718092382,1.253074765,0.819133997,0.650835574,0.089848459,0.136488721,2020
83,84,Indonesia,Southeast Asia,5.285600185,0.891720712,1.154800892,0.610437036,0.568161428,0.038278613,0.542646527,2020
84,85,Ivory Coast,Sub-Saharan Africa,5.233300209,0.537094414,0.799727261,0.154942513,0.397122532,0.093495794,0.169915587,2020
85,86,Benin,Sub-Saharan Africa,5.21600008,0.366244704,0.352428436,0.328062952,0.40583989,0.125931874,0.196670428,2020
86,87,Maldives,South Asia,5.197599888,0.937864304,1.402287602,0.914439559,0.548203647,0.071906492,0.224198252,2020
87,88,Congo (Brazzaville),Sub-Saharan Africa,5.194399834,0.633616745,0.757636011,0.458101124,0.386514395,0.118670784,0.117216013,2020
88,89,Azerbaijan,Commonwealth of Independent States,5.164800167,0.990272701,1.180613041,0.731134057,0.467734724,0.247307181,0.040113214,2020
89,90,Macedonia,Central and Eastern Europe,5.159800053,0.935371995,1.183173537,0.802994132,0.410224587,0.024595059,0.18586354,2020
90,91,Ghana,Sub-Saharan Africa,5.147999763,0.575862467,0.96636796,0.432162255,0.477290064,0.056570381,0.261291206,2020
91,92,Nepal,South Asia,5.137199879,0.444050372,1.100789309,0.66887939,0.480608255,0.127502963,0.300971806,2020
92,93,Turkey,Middle East and North Africa,5.131800175,1.127169251,1.197159171,0.781335294,0.25440076,0.120983243,0.085885569,2020
93,94,China,East Asia,5.123899937,0.990533412,1.132080674,0.867248535,0.601605117,0.117255554,0.079021044,2020
94,95,Turkmenistan,Commonwealth of Independent States,5.119100094,1.008963585,1.510476947,0.612448037,0.515236676,0.03350389,0.323129326,2020
95,96,Bulgaria,Central and Eastern Europe,5.101500034,1.046554685,1.460578918,0.777776897,0.417820066,0,0.103833713,2020
96,97,Morocco,Middle East and North Africa,5.094799995,0.75862211,0.645208478,0.745096922,0.450054139,0.077385604,0.040032551,2020
97,98,Cameroon,Sub-Saharan Africa,5.084899902,0.503958046,0.89972645,0.270189553,0.439242482,0.054393422,0.198020101,2020
98,99,Venezuela,Latin America and Caribbean,5.053199768,0.770238638,1.348546863,0.76702553,0.271717221,0.063624777,0.087179154,2020
99,100,Algeria,Middle East and North Africa,5.005099773,0.943856001,1.143003583,0.745418549,0.083943799,0.129190654,0.118915014,2020
100,101,Senegal,Sub-Saharan Africa,4.980800152,0.504061818,0.95459342,0.518391907,0.352400899,0.081865937,0.164397135,2020
101,102,Guinea,Sub-Saharan Africa,4.949299812,0.390007734,0.75136596,0.333655238,0.371878058,0.112204559,0.249490842,2020
102,103,Niger,Sub-Saharan Africa,4.909599781,0.108330332,0.703800142,0.298816353,0.435311615,0.137554765,0.208176896,2020
103,104,Laos,Southeast Asia,4.888599873,0.714693844,0.987391889,0.486378282,0.612027287,0.194273964,0.27266711,2020
